,data_set,np_seed,tf_seed,serialized_model,trial_idx,rectifier,kernel_init,kernel_size,strides,train_batch_size,epochs,q_train_size,retrain_tries,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-10 06:11:19.492692,mnist,0,0,Sequential2020-06-10 06:11:19.492692,2,relu,GlorotUniform,3,2,128,10,10000,1,2.321928094887362,0.9830999970436096,0.7491000294685364,0.753600001335144
2020-06-10 06:14:16.441310,mnist,0,0,Sequential2020-06-10 06:14:16.441310,2,relu,GlorotUniform,3,2,128,10,10000,1,2.584962500721156,0.9839000105857849,0.8453999757766724,0.7454000115394592
2020-06-10 06:17:10.412968,mnist,0,0,Sequential2020-06-10 06:17:10.412968,2,relu,GlorotUniform,3,2,128,10,10000,1,2.807354922057604,0.9835000038146973,0.8070999979972839,0.6751000285148621
2020-06-10 06:22:53.465544,mnist,0,0,Sequential2020-06-10 06:22:53.465544,2,relu,GlorotUniform,3,2,128,10,10000,2,1.584962500721156,0.9872999787330627,0.7950999736785889,0.9334999918937683
2020-06-10 06:28:40.099327,mnist,0,0,Sequential2020-06-10 06:28:40.099327,2,relu,GlorotUniform,3,2,128,10,10000,2,2.0,0.9865999817848206,0.8215000033378601,0.9138000011444092
2020-06-10 06:34:25.755796,mnist,0,0,Sequential2020-06-10 06:34:25.755796,2,relu,GlorotUniform,3,2,128,10,10000,2,2.321928094887362,0.9858999848365784,0.8183000087738037,0.9369999766349792
2020-06-10 06:40:10.722644,mnist,0,0,Sequential2020-06-10 06:40:10.722644,2,relu,GlorotUniform,3,2,128,10,10000,2,2.584962500721156,0.9865999817848206,0.8349999785423279,0.9713000059127808
2020-06-10 06:45:52.671009,mnist,0,0,Sequential2020-06-10 06:45:52.671009,2,relu,GlorotUniform,3,2,128,10,10000,2,2.807354922057604,0.9858999848365784,0.8296999931335449,0.7784000039100647
2020-06-10 06:54:25.023352,mnist,0,0,Sequential2020-06-10 06:54:25.023352,2,relu,GlorotUniform,3,2,128,10,10000,3,1.584962500721156,0.9853000044822693,0.7996000051498413,0.9506000280380249
2020-06-10 07:03:00.430735,mnist,0,0,Sequential2020-06-10 07:03:00.430735,2,relu,GlorotUniform,3,2,128,10,10000,3,2.0,0.9872000217437744,0.8618999719619751,0.9642999768257141
2020-06-10 07:11:35.451663,mnist,0,0,Sequential2020-06-10 07:11:35.451663,2,relu,GlorotUniform,3,2,128,10,10000,3,2.321928094887362,0.9879999756813049,0.8147000074386597,0.9588000178337097
2020-06-10 07:20:12.793030,mnist,0,0,Sequential2020-06-10 07:20:12.793030,2,relu,GlorotUniform,3,2,128,10,10000,3,2.584962500721156,0.987500011920929,0.7361999750137329,0.9229999780654907
2020-06-10 07:28:47.598868,mnist,0,0,Sequential2020-06-10 07:28:47.598868,2,relu,GlorotUniform,3,2,128,10,10000,3,2.807354922057604,0.9883000254631042,0.794700026512146,0.9275000095367432
2020-06-10 07:33:08.172766,mnist,0,0,Sequential2020-06-10 07:33:08.172766,2,relu,GlorotUniform,5,2,128,10,10000,1,1.584962500721156,0.9876999855041504,0.9143000245094299,0.7609999775886536
2020-06-10 07:37:26.698017,mnist,0,0,Sequential2020-06-10 07:37:26.698017,2,relu,GlorotUniform,5,2,128,10,10000,1,2.0,0.9857000112533569,0.8977000117301941,0.8895999789237976
2020-06-10 07:41:47.391991,mnist,0,0,Sequential2020-06-10 07:41:47.391991,2,relu,GlorotUniform,5,2,128,10,10000,1,2.321928094887362,0.9854000210762024,0.8055999875068665,0.7019000053405762
2020-06-10 07:46:06.752945,mnist,0,0,Sequential2020-06-10 07:46:06.752945,2,relu,GlorotUniform,5,2,128,10,10000,1,2.584962500721156,0.9871000051498413,0.8944000005722046,0.6510000228881836
2020-06-10 07:50:23.939225,mnist,0,0,Sequential2020-06-10 07:50:23.939225,2,relu,GlorotUniform,5,2,128,10,10000,1,2.807354922057604,0.987500011920929,0.9283999800682068,0.913100004196167
2020-06-10 07:58:55.937485,mnist,0,0,Sequential2020-06-10 07:58:55.937485,2,relu,GlorotUniform,5,2,128,10,10000,2,1.584962500721156,0.9901000261306763,0.8569999933242798,0.9291999936103821
2020-06-10 08:07:34.972077,mnist,0,0,Sequential2020-06-10 08:07:34.972077,2,relu,GlorotUniform,5,2,128,10,10000,2,2.0,0.9908999800682068,0.907800018787384,0.9466000199317932
2020-06-10 08:16:10.756906,mnist,0,0,Sequential2020-06-10 08:16:10.756906,2,relu,GlorotUniform,5,2,128,10,10000,2,2.321928094887362,0.9886000156402588,0.9254999756813049,0.9366999864578247
2020-06-10 08:24:40.945920,mnist,0,0,Sequential2020-06-10 08:24:40.945920,2,relu,GlorotUniform,5,2,128,10,10000,2,2.584962500721156,0.9904999732971191,0.9210000038146973,0.9613999724388123
2020-06-10 08:33:11.010439,mnist,0,0,Sequential2020-06-10 08:33:11.010439,2,relu,GlorotUniform,5,2,128,10,10000,2,2.807354922057604,0.9902999997138977,0.9369000196456909,0.9638000130653381
2020-06-10 08:45:58.831189,mnist,0,0,Sequential2020-06-10 08:45:58.831189,2,relu,GlorotUniform,5,2,128,10,10000,3,1.584962500721156,0.9908000230789185,0.9427000284194946,0.9429000020027161
2020-06-10 08:58:51.466276,mnist,0,0,Sequential2020-06-10 08:58:51.466276,2,relu,GlorotUniform,5,2,128,10,10000,3,2.0,0.9894999861717224,0.8817999958992004,0.9520999789237976
2020-06-10 09:11:42.189347,mnist,0,0,Sequential2020-06-10 09:11:42.189347,2,relu,GlorotUniform,5,2,128,10,10000,3,2.321928094887362,0.9901000261306763,0.9243000149726868,0.9355000257492065
2020-06-10 09:24:30.721588,mnist,0,0,Sequential2020-06-10 09:24:30.721588,2,relu,GlorotUniform,5,2,128,10,10000,3,2.584962500721156,0.9912999868392944,0.9448000192642212,0.963100016117096
2020-06-10 09:37:23.648596,mnist,0,0,Sequential2020-06-10 09:37:23.648596,2,relu,GlorotUniform,5,2,128,10,10000,3,2.807354922057604,0.9905999898910522,0.9016000032424927,0.9621999859809875
2020-06-10 09:42:45.861896,mnist,0,0,Sequential2020-06-10 09:42:45.861896,2,relu,GlorotUniform,7,2,128,10,10000,1,1.584962500721156,0.9842000007629395,0.9023000001907349,0.7325999736785889
2020-06-10 09:48:15.618022,mnist,0,0,Sequential2020-06-10 09:48:15.618022,2,relu,GlorotUniform,7,2,128,10,10000,1,2.0,0.9851999878883362,0.8503999710083008,0.7595000267028809
2020-06-10 09:53:45.138368,mnist,0,0,Sequential2020-06-10 09:53:45.138368,2,relu,GlorotUniform,7,2,128,10,10000,1,2.321928094887362,0.9882000088691711,0.9309999942779541,0.5277000069618225
2020-06-10 09:59:12.150302,mnist,0,0,Sequential2020-06-10 09:59:12.150302,2,relu,GlorotUniform,7,2,128,10,10000,1,2.584962500721156,0.9853000044822693,0.866599977016449,0.6341999769210815
2020-06-10 10:04:43.423137,mnist,0,0,Sequential2020-06-10 10:04:43.423137,2,relu,GlorotUniform,7,2,128,10,10000,1,2.807354922057604,0.9851999878883362,0.8579000234603882,0.9143000245094299
2020-06-10 10:15:42.570993,mnist,0,0,Sequential2020-06-10 10:15:42.570993,2,relu,GlorotUniform,7,2,128,10,10000,2,1.584962500721156,0.9908000230789185,0.9424999952316284,0.9143000245094299
2020-06-10 10:26:50.846411,mnist,0,0,Sequential2020-06-10 10:26:50.846411,2,relu,GlorotUniform,7,2,128,10,10000,2,2.0,0.9902999997138977,0.9362000226974487,0.916100025177002
