,data_set,np_seed,tf_seed,serialized_model,kernels_per_layer,rectifier,kernel_init,conv_kernel_sizes,conv_strides,dropout_rates,pool_sizes,pool_strides,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-12_15:11:15.139162,mnist,0,0,Sequential2020-06-12_15:11:15.139193,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.901199996471405,0.4970000088214874,0.3569999933242798
2020-06-12_15:11:43.917283,mnist,0,0,Sequential2020-06-12_15:11:43.917313,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9470999836921692,0.43149998784065247,0.1703999936580658
2020-06-12_15:12:12.124050,mnist,0,0,Sequential2020-06-12_15:12:12.124082,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9470999836921692,0.3395000100135803,0.12549999356269836
2020-06-12_15:12:41.599104,mnist,0,0,Sequential2020-06-12_15:12:41.599135,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9470999836921692,0.3625999987125397,0.1264999955892563
2020-06-12_15:13:36.082596,mnist,0,0,Sequential2020-06-12_15:13:36.082627,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9521999955177307,0.31299999356269836,0.1185000017285347
2020-06-12_15:14:30.189309,mnist,0,0,Sequential2020-06-12_15:14:30.189339,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9526000022888184,0.41690000891685486,0.26409998536109924
2020-06-12_15:15:24.568557,mnist,0,0,Sequential2020-06-12_15:15:24.568589,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9541000127792358,0.46230000257492065,0.22759999334812164
2020-06-12_15:15:54.354449,mnist,0,0,Sequential2020-06-12_15:15:54.354483,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9312000274658203,0.36959999799728394,0.17970000207424164
2020-06-12_15:16:22.870565,mnist,0,0,Sequential2020-06-12_15:16:22.870597,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9312000274658203,0.3971000015735626,0.22709999978542328
2020-06-12_15:16:50.877097,mnist,0,0,Sequential2020-06-12_15:16:50.877128,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9312000274658203,0.3785000145435333,0.20970000326633453
2020-06-12_15:17:43.156688,mnist,0,0,Sequential2020-06-12_15:17:43.156721,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9412000179290771,0.27489998936653137,0.16619999706745148
2020-06-12_15:18:36.974253,mnist,0,0,Sequential2020-06-12_15:18:36.974283,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9427000284194946,0.3889999985694885,0.12680000066757202
2020-06-12_15:19:29.970664,mnist,0,0,Sequential2020-06-12_15:19:29.970697,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9424999952316284,0.3734999895095825,0.12520000338554382
2020-06-12_15:19:58.041956,mnist,0,0,Sequential2020-06-12_15:19:58.041988,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9168999791145325,0.2922999858856201,0.34689998626708984
2020-06-12_15:20:25.574281,mnist,0,0,Sequential2020-06-12_15:20:25.574313,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9168999791145325,0.4049000144004822,0.2606000006198883
2020-06-12_15:20:52.691181,mnist,0,0,Sequential2020-06-12_15:20:52.691212,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9168999791145325,0.40139999985694885,0.27000001072883606
2020-06-12_15:21:43.919647,mnist,0,0,Sequential2020-06-12_15:21:43.919677,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9452999830245972,0.35600000619888306,0.3133000135421753
2020-06-12_15:22:34.617628,mnist,0,0,Sequential2020-06-12_15:22:34.617660,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9509999752044678,0.42480000853538513,0.31929999589920044
2020-06-12_15:23:26.130058,mnist,0,0,Sequential2020-06-12_15:23:26.130089,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9508000016212463,0.39959999918937683,0.28540000319480896
2020-06-12_15:23:54.230940,mnist,0,0,Sequential2020-06-12_15:23:54.230973,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9308000206947327,0.3391000032424927,0.2199999988079071
2020-06-12_15:24:22.106697,mnist,0,0,Sequential2020-06-12_15:24:22.106728,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9308000206947327,0.37950000166893005,0.15369999408721924
2020-06-12_15:24:49.507990,mnist,0,0,Sequential2020-06-12_15:24:49.508021,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9308000206947327,0.367900013923645,0.15539999306201935
2020-06-12_15:25:43.471445,mnist,0,0,Sequential2020-06-12_15:25:43.471477,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9452000260353088,0.4366999864578247,0.18690000474452972
2020-06-12_15:26:36.471697,mnist,0,0,Sequential2020-06-12_15:26:36.471728,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9488000273704529,0.3492000102996826,0.19519999623298645
2020-06-12_15:27:29.099991,mnist,0,0,Sequential2020-06-12_15:27:29.100023,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9496999979019165,0.3693000078201294,0.20229999721050262
2020-06-12_15:27:57.155534,mnist,0,0,Sequential2020-06-12_15:27:57.155564,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9279000163078308,0.33340001106262207,0.35350000858306885
2020-06-12_15:28:26.176892,mnist,0,0,Sequential2020-06-12_15:28:26.176922,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9279000163078308,0.36739999055862427,0.3792000114917755
2020-06-12_15:28:54.228201,mnist,0,0,Sequential2020-06-12_15:28:54.228233,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9279000163078308,0.38830000162124634,0.3882000148296356
2020-06-12_15:29:46.859492,mnist,0,0,Sequential2020-06-12_15:29:46.859523,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9434999823570251,0.5393999814987183,0.19949999451637268
2020-06-12_15:30:40.293081,mnist,0,0,Sequential2020-06-12_15:30:40.293113,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9434999823570251,0.5300999879837036,0.23659999668598175
2020-06-12_15:31:41.383376,mnist,0,0,Sequential2020-06-12_15:31:41.383408,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9430999755859375,0.5460000038146973,0.22200000286102295
2020-06-12_15:32:08.281644,mnist,0,0,Sequential2020-06-12_15:32:08.281678,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.909500002861023,0.41019999980926514,0.30320000648498535
2020-06-12_15:32:35.092980,mnist,0,0,Sequential2020-06-12_15:32:35.093010,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.909500002861023,0.44110000133514404,0.29649999737739563
2020-06-12_15:33:02.295471,mnist,0,0,Sequential2020-06-12_15:33:02.295502,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.909500002861023,0.4422000050544739,0.29899999499320984
2020-06-12_15:33:54.019105,mnist,0,0,Sequential2020-06-12_15:33:54.019137,"(16, 8)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9387000203132629,0.5004000067710876,0.2964000105857849
